Age,Gender,Income,Credit Score,Credit History Length,Number of Existing Loans,Loan Amount,Loan Tenure,Existing Customer,State,City,LTV Ratio,Employment Profile,Profile Score,Occupation
20,Female,57000,733,11,7,150000,285,Yes,West Bengal,Kolkata,40.0,Salaried,100,Teacher
69,Female,149000,505,522,3,113045,39,No,Delhi,New Delhi,62.6854735671003,Salaried,92,Teacher
56,Female,147000,839,275,9,120217,159,Yes,Maharashtra,Mumbai,82.56591762970348,Salaried,100,Civil Servant
37,Male,26000,631,287,6,116196,286,No,Rajasthan,Udaipur,56.33726420127495,Self-Employed,98,Farmer
68,Female,68000,354,83,0,40661,63,No,Uttar Pradesh,Kanpur,70.85460992022955,Salaried,74,Software Engineer
52,Female,130000,495,189,3,145578,76,No,Maharashtra,Nagpur,79.84884134852204,Salaried,88,Civil Servant
61,Female,41000,307,104,0,23296,99,No,Rajasthan,Udaipur,58.68662199975521,Unemployed,23,NA
39,Male,34000,590,605,5,150000,96,No,Kerala,Thiruvananthapuram,75.06358255882917,Salaried,100,Software Engineer
54,Male,116000,535,434,4,150000,47,No,Tamil Nadu,Chennai,57.34368675755078,Self-Employed,83,Contractor
52,Female,87000,697,26,7,141231,70,Yes,Delhi,New Delhi,94.61680935507344,Unemployed,58,NA
25,Female,37000,571,460,4,36315,93,No,Karnataka,Bengaluru,95.0,Self-Employed,79,Shopkeeper
24,Male,15000,463,24,2,10764,48,No,Uttar Pradesh,Lucknow,78.1671332031676,Self-Employed,49,Farmer
57,Female,130000,850,600,10,56891,195,Yes,Telangana,Hyderabad,40.48198329209513,Unemployed,96,NA
23,Female,32000,442,314,2,67958,83,No,Telangana,Hyderabad,77.54209231081902,Freelancer,43,Independent Consultant
53,Male,33000,428,576,2,99179,56,No,Delhi,New Delhi,53.836170159566855,Unemployed,62,NA
40,Male,20000,446,48,2,67334,42,No,Delhi,New Delhi,50.10343046010006,Self-Employed,85,Farmer
67,Male,134000,850,219,10,150000,341,Yes,Tamil Nadu,Manjari,74.22682866107311,Salaried,90,Civil Servant
70,Male,82000,436,140,2,80718,14,No,Telangana,Hyderabad,87.413146675367,Salaried,52,Civil Servant
63,Female,72000,344,168,0,103424,30,No,Maharashtra,Mumbai,87.87750266950479,Salaried,46,Civil Servant
69,Male,47000,497,244,3,150000,16,No,West Bengal,Kolkata,52.49169175970648,Self-Employed,82,Farmer
28,Female,65000,482,85,3,58331,34,No,Telangana,Hyderabad,67.34258318309796,Salaried,72,Teacher
63,Female,48000,565,375,4,50785,62,No,Rajasthan,Udaipur,53.84922553647522,Salaried,95,Teacher
18,Other,16000,329,436,0,12592,119,No,Telangana,Hyderabad,94.80256516640816,Unemployed,17,NA
26,Female,48000,300,349,0,127696,30,No,Uttar Pradesh,Lucknow,70.52754829473606,Unemployed,19,NA
34,Female,77000,326,160,0,93422,13,No,Tamil Nadu,Chennai,95.0,Salaried,19,Doctor
60,Female,132000,752,169,8,119937,336,Yes,Delhi,New Delhi,79.27722148253449,Salaried,100,Doctor
21,Female,44000,733,511,7,37592,322,Yes,Karnataka,Mysuru,85.75377416652,Freelancer,100,Writer
39,Male,110000,545,48,4,150000,89,No,Maharashtra,Nagpur,67.84323724567385,Self-Employed,78,Shopkeeper
56,Male,92000,763,573,8,147137,237,Yes,Karnataka,Dhulagori,58.796202297770975,Salaried,94,Doctor
43,Female,90000,782,327,8,106491,331,Yes,Karnataka,Mysuru,56.697980262353155,Salaried,98,Civil Servant
67,Male,65000,528,462,4,150000,75,No,Delhi,New Delhi,87.33408469818315,Freelancer,44,Graphic Designer
64,Female,127000,649,473,6,150000,318,No,Telangana,Hyderabad,95.0,Salaried,100,Civil Servant
21,Female,46000,430,544,2,85243,98,No,Maharashtra,Nagpur,84.76704865369365,Self-Employed,29,Farmer
47,Male,28000,756,226,8,52918,130,Yes,Uttar Pradesh,Manjari,82.0887075748134,Self-Employed,100,Farmer
68,Other,70000,553,194,4,93269,103,No,Uttar Pradesh,Lucknow,74.12142212136447,Salaried,91,Software Engineer
54,Female,134000,713,303,7,133699,60,Yes,Delhi,New Delhi,45.79670612029757,Salaried,100,Doctor
28,Female,50000,645,60,6,150000,193,No,Karnataka,Mysuru,86.83167405881426,Freelancer,68,Photographer
55,Female,92000,648,227,6,115015,162,No,Tamil Nadu,Coimbatore,95.0,Salaried,100,Banker
65,Female,192000,850,406,10,150000,96,Yes,Maharashtra,Pune,75.26939702110516,Salaried,100,Software Engineer
18,Male,24000,519,462,3,45280,106,No,Delhi,New Delhi,84.00648273471197,Salaried,85,Teacher
23,Male,63000,419,29,2,142381,84,No,Maharashtra,Mumbai,74.99959788285017,Self-Employed,42,Business Owner
20,Other,58000,722,250,7,82463,298,Yes,Kerala,Thiruvananthapuram,83.24323551287802,Salaried,90,Civil Servant
36,Male,29000,747,569,8,76523,246,Yes,Uttar Pradesh,Kanpur,53.63669448270598,Salaried,100,Banker
28,Female,50000,689,244,7,52359,235,Yes,West Bengal,Nellikuppam,82.03087371968846,Salaried,95,Teacher
59,Female,74000,411,213,2,150000,13,No,Tamil Nadu,Chennai,88.3722701540811,Self-Employed,56,Shopkeeper
54,Female,51000,850,86,10,150000,239,Yes,Rajasthan,Jaipur,57.4291653616248,Salaried,97,Software Engineer
30,Female,51000,322,146,0,150000,79,No,Telangana,Hyderabad,69.52852836048535,Freelancer,37,Writer
61,Female,128000,850,182,10,88441,334,Yes,Kerala,Kochi,47.649641353233065,Salaried,100,Banker
27,Female,38000,812,191,9,93542,288,Yes,Rajasthan,Jaipur,72.7534919223183,Self-Employed,99,Business Owner
24,Female,37000,700,384,7,99217,142,Yes,Uttar Pradesh,Lucknow,59.63281175131125,Self-Employed,94,Shopkeeper
50,Female,90000,493,173,3,88017,33,No,Gujarat,Surat,52.221766137614296,Salaried,94,Doctor
39,Female,88000,403,110,1,109483,20,No,Telangana,Hyderabad,92.61912181475574,Self-Employed,29,Contractor
38,Male,72000,375,434,1,44649,12,No,Rajasthan,Jaipur,95.0,Self-Employed,29,Shopkeeper
20,Female,48000,484,256,3,150000,109,No,Kerala,Kochi,60.770498762701784,Unemployed,87,NA
18,Male,48000,495,403,3,57712,23,No,Delhi,New Delhi,90.69636361855825,Self-Employed,49,Contractor
24,Female,47000,384,305,1,131907,17,No,Maharashtra,Pune,58.52150987539488,Self-Employed,47,Business Owner
45,Female,79000,759,102,8,62855,306,Yes,Telangana,Hyderabad,42.797932004520334,Unemployed,90,NA
23,Other,56000,622,241,5,98495,113,No,Kerala,Thiruvananthapuram,90.28484400928497,Freelancer,91,Independent Consultant
33,Female,46000,329,207,0,148317,58,No,Delhi,New Delhi,73.67100700107206,Salaried,70,Teacher
68,Male,116000,832,547,9,130072,180,Yes,Tamil Nadu,Dhulagori,65.57640230645637,Salaried,100,Civil Servant
53,Male,118000,641,601,6,150000,144,No,Telangana,Hyderabad,95.0,Self-Employed,92,Farmer
34,Female,33000,599,601,5,141450,71,No,Uttar Pradesh,Kanpur,82.93151586649549,Salaried,79,Civil Servant
39,Female,112000,695,98,7,150000,186,Yes,Karnataka,Mysuru,63.390095655836106,Salaried,97,Teacher
37,Male,94000,486,159,3,104366,118,No,Gujarat,Ahmedabad,52.90015421563489,Student,82,Student
37,Female,67000,425,536,2,122025,36,No,Rajasthan,Dhulagori,95.0,Self-Employed,54,Farmer
41,Male,103000,818,222,9,102667,264,Yes,Karnataka,Bengaluru,79.34421162494289,Salaried,95,Software Engineer
58,Female,162000,383,552,1,150000,77,No,Rajasthan,Jaipur,95.0,Salaried,58,Teacher
43,Female,106000,608,59,5,122644,165,No,Maharashtra,Pune,91.02226882259151,Salaried,95,Doctor
33,Male,50000,751,518,8,82442,126,Yes,Rajasthan,Udaipur,65.52469002521534,Self-Employed,90,Contractor
23,Male,31000,701,494,7,36340,134,Yes,Tamil Nadu,Coimbatore,81.71190066188703,Self-Employed,100,Business Owner
31,Female,26000,303,15,0,91974,74,No,West Bengal,Kolkata,57.168524076108696,Self-Employed,73,Business Owner
30,Other,47000,534,347,4,104534,73,No,Delhi,New Delhi,55.95623023304165,Self-Employed,100,Farmer
59,Male,91000,502,228,3,105628,80,No,Gujarat,Ahmedabad,85.4959129035609,Self-Employed,70,Farmer
25,Male,66000,511,547,3,99856,26,No,Telangana,Hyderabad,62.625810189853624,Self-Employed,83,Farmer
21,Female,24000,498,272,3,85518,44,No,West Bengal,Kolkata,95.0,Salaried,68,Software Engineer
50,Male,82000,307,114,0,150000,78,No,Maharashtra,Pune,83.91207159225064,Student,32,Student
54,Male,143000,408,601,1,150000,101,No,Kerala,Nellikuppam,59.838048572586416,Self-Employed,77,Farmer
51,Female,135000,694,446,7,88353,308,Yes,Telangana,Hyderabad,79.12194577468344,Salaried,98,Banker
40,Male,68000,401,382,1,100969,35,No,Uttar Pradesh,Kanpur,95.0,Freelancer,31,Independent Consultant
48,Female,123000,584,7,5,95335,114,No,West Bengal,Kolkata,80.10544568086551,Salaried,92,Civil Servant
42,Male,89000,525,398,4,125441,49,No,Gujarat,Ahmedabad,68.26761967847608,Salaried,98,Doctor
42,Male,77000,809,55,9,93455,276,Yes,Rajasthan,Udaipur,51.02442365778552,Salaried,100,Software Engineer
45,Male,128000,704,267,7,55651,170,Yes,Maharashtra,Channarayapatna,76.23831897562022,Self-Employed,96,Shopkeeper
63,Female,99000,790,517,8,150000,167,Yes,Uttar Pradesh,Kanpur,80.13567419323121,Salaried,91,Doctor
64,Female,161000,750,530,8,142595,355,Yes,Telangana,Hyderabad,72.72290493600713,Salaried,100,Teacher
49,Female,122000,850,242,10,150000,166,Yes,Telangana,Hyderabad,40.92960355423247,Self-Employed,92,Shopkeeper
55,Female,128000,578,94,5,92232,68,No,Uttar Pradesh,Dhulagori,88.06418657474637,Self-Employed,90,Contractor
58,Female,49000,640,316,6,116602,306,No,West Bengal,Kolkata,53.19184047049835,Salaried,100,Teacher
28,Male,51000,355,256,1,119303,43,No,Karnataka,Bengaluru,75.9164946887474,Freelancer,47,Photographer
53,Male,105000,786,577,8,91948,62,Yes,Delhi,New Delhi,43.33767607692877,Salaried,96,Teacher
20,Male,54000,605,176,5,150000,245,No,Delhi,New Delhi,78.29598189476437,Freelancer,69,Writer
37,Female,19000,708,374,7,92249,282,Yes,Maharashtra,Nagpur,71.81369833019338,Self-Employed,94,Farmer
27,Female,24000,599,198,5,100325,99,No,Karnataka,Dhulagori,95.0,Unemployed,63,NA
31,Male,92000,815,178,9,51775,89,Yes,Rajasthan,Jaipur,49.23103188601108,Student,90,Student
43,Male,30000,480,147,3,58908,115,No,Maharashtra,Pune,63.73639268855683,Unemployed,68,NA
46,Other,134000,850,403,10,150000,327,Yes,Tamil Nadu,Chennai,57.73598948870668,Self-Employed,100,Business Owner
64,Female,178000,651,261,6,82525,137,Yes,Karnataka,Bengaluru,81.88523194554755,Salaried,82,Civil Servant
69,Female,51000,311,196,0,59282,43,No,Maharashtra,Mumbai,95.0,Self-Employed,0,Farmer
34,Male,98000,479,389,3,130174,70,No,West Bengal,Bishanpura,74.41281477034507,Self-Employed,65,Contractor
42,Female,108000,794,568,8,150000,115,Yes,Uttar Pradesh,Kanpur,52.36003952023334,Self-Employed,97,Shopkeeper
29,Female,78000,653,304,6,59745,110,Yes,Gujarat,Surat,89.02624176879266,Unemployed,63,NA
52,Female,98000,725,399,7,150000,133,Yes,Delhi,New Delhi,40.0,Self-Employed,100,Business Owner
54,Female,97000,304,497,0,150000,45,No,Maharashtra,Pune,62.19658567625834,Self-Employed,33,Business Owner
24,Female,43000,762,421,8,150000,74,Yes,Telangana,Manjari,47.97483447931472,Student,93,Student
27,Female,19000,430,214,2,91773,81,No,Tamil Nadu,Chennai,95.0,Unemployed,10,NA
21,Other,29000,361,469,1,53379,18,No,Gujarat,Ahmedabad,66.39049084634905,Self-Employed,66,Contractor
58,Female,121000,384,245,1,150000,26,No,Tamil Nadu,Coimbatore,58.825022590215404,Salaried,62,Doctor
62,Male,112000,538,276,4,83106,80,No,Rajasthan,Nellikuppam,95.0,Unemployed,31,NA
28,Female,28000,300,74,0,76802,64,No,West Bengal,Kolkata,95.0,Student,0,Student
55,Male,117000,461,450,2,114277,52,No,Rajasthan,Jaipur,58.940345997431095,Self-Employed,60,Shopkeeper
60,Female,65000,733,53,7,66156,87,Yes,Gujarat,Manjari,51.69117654098228,Self-Employed,100,Business Owner
41,Female,46000,356,135,1,49211,38,No,West Bengal,Kolkata,61.650788436098594,Salaried,81,Teacher
62,Female,110000,797,279,9,73628,249,Yes,Uttar Pradesh,Lucknow,40.0,Self-Employed,90,Contractor
22,Male,22000,729,369,7,51543,128,Yes,Delhi,New Delhi,47.355157914506805,Freelancer,96,Independent Consultant
23,Female,55000,457,581,2,142707,71,No,Rajasthan,Udaipur,78.63890343638931,Student,35,Student
36,Male,64000,370,562,1,67709,53,No,Karnataka,Mysuru,68.01577982791326,Salaried,60,Banker
51,Male,71000,463,446,2,98822,12,No,Uttar Pradesh,Lucknow,95.0,Self-Employed,29,Business Owner
50,Female,109000,734,228,7,150000,130,Yes,Delhi,Channarayapatna,69.26001243938319,Self-Employed,100,Business Owner
58,Male,71000,464,605,2,150000,79,No,Uttar Pradesh,Lucknow,71.7140068495207,Freelancer,64,Independent Consultant
45,Other,83000,596,534,5,141020,51,No,Uttar Pradesh,Dhulagori,95.0,Self-Employed,87,Shopkeeper
64,Male,67000,573,226,4,150000,42,No,Delhi,New Delhi,84.75337646378719,Student,46,Student
46,Male,53000,629,394,5,134392,163,No,Maharashtra,Pune,95.0,Salaried,85,Doctor
46,Male,62000,624,423,5,100580,303,No,Rajasthan,Udaipur,95.0,Self-Employed,56,Business Owner
43,Female,121000,840,371,9,150000,71,Yes,Delhi,Nellikuppam,51.40249249964731,Salaried,93,Teacher
44,Male,64000,692,317,7,148798,345,Yes,Telangana,Hyderabad,92.56642089993358,Freelancer,100,Independent Consultant
64,Female,145000,790,217,8,137969,298,Yes,Maharashtra,Pune,45.680416589121535,Student,98,Student
69,Male,145000,435,287,2,103811,19,No,Delhi,New Delhi,95.0,Unemployed,35,NA
28,Female,50000,770,368,8,34683,132,Yes,Uttar Pradesh,Lucknow,56.86298295800832,Salaried,100,Doctor
52,Female,44000,594,422,5,128373,92,No,Maharashtra,Nagpur,58.91420000104164,Self-Employed,93,Shopkeeper
26,Male,40000,300,223,0,29600,94,No,Maharashtra,Nellikuppam,79.804571797911,Unemployed,37,NA
63,Male,104000,781,445,8,150000,94,Yes,Uttar Pradesh,Kanpur,45.92463551330261,Student,96,Student
46,Female,88000,463,45,2,98214,52,No,Uttar Pradesh,Lucknow,95.0,Self-Employed,31,Business Owner
58,Male,171000,829,368,9,139825,154,Yes,Karnataka,Bengaluru,83.12717565677605,Self-Employed,94,Contractor
66,Male,171000,573,187,4,150000,66,No,Tamil Nadu,Chennai,51.688719720435,Salaried,100,Banker
18,Male,16000,300,104,0,72857,113,No,Maharashtra,Mumbai,92.82753090435327,Self-Employed,34,Contractor
55,Male,77000,642,82,6,78863,191,No,Telangana,Dhulagori,89.53494364656916,Salaried,78,Software Engineer
26,Female,22000,423,273,2,28043,21,No,Rajasthan,Jaipur,71.4527668707058,Self-Employed,58,Farmer
69,Female,177000,677,410,6,67022,162,Yes,Rajasthan,Jaipur,95.0,Self-Employed,67,Farmer
52,Female,147000,563,60,4,61209,28,No,Telangana,Hyderabad,58.6536179608712,Self-Employed,98,Farmer
65,Male,50000,626,563,5,150000,296,No,Karnataka,Bengaluru,95.0,Salaried,78,Teacher
35,Female,25000,716,17,7,70290,113,Yes,Kerala,Thiruvananthapuram,40.0,Self-Employed,97,Shopkeeper
23,Male,42000,566,441,4,150000,82,No,Uttar Pradesh,Lucknow,95.0,Self-Employed,67,Farmer
59,Other,162000,538,385,4,150000,92,No,Gujarat,Surat,95.0,Unemployed,54,NA
25,Female,41000,697,260,7,49913,248,Yes,Karnataka,Bengaluru,55.202324263721046,Salaried,93,Banker
49,Female,68000,672,504,6,73527,74,Yes,Delhi,New Delhi,52.75544135081586,Salaried,96,Doctor
60,Male,160000,452,94,2,150000,77,No,Uttar Pradesh,Kanpur,95.0,Self-Employed,24,Business Owner
55,Male,99000,531,171,4,150000,90,No,Rajasthan,Jaipur,95.0,Freelancer,71,Graphic Designer
41,Male,114000,845,304,9,150000,238,Yes,Telangana,Hyderabad,48.26616453538075,Self-Employed,100,Shopkeeper
26,Male,57000,588,22,5,150000,98,No,Rajasthan,Udaipur,85.22279115347045,Self-Employed,82,Business Owner
32,Male,19000,648,231,6,53553,239,No,Gujarat,Ahmedabad,55.33908578359176,Salaried,100,Doctor
23,Female,39000,394,390,1,150000,23,No,Maharashtra,Nagpur,70.85814977997953,Salaried,78,Doctor
48,Male,26000,493,223,3,100545,81,No,Kerala,Channarayapatna,76.08960872450044,Salaried,62,Civil Servant
46,Male,27000,376,22,1,71703,48,No,Delhi,New Delhi,68.05904056785468,Salaried,52,Teacher
45,Female,107000,445,523,2,108969,50,No,Gujarat,Surat,71.72442236155354,Salaried,75,Teacher
50,Other,136000,719,509,7,150000,242,Yes,Gujarat,Dhulagori,40.0,Salaried,100,Software Engineer
49,Male,31000,590,495,5,148100,100,No,Uttar Pradesh,Kanpur,95.0,Salaried,83,Doctor
50,Female,61000,405,384,1,52030,85,No,Telangana,Hyderabad,77.54121395939629,Unemployed,23,NA
56,Male,106000,521,450,4,117636,72,No,Maharashtra,Nagpur,61.98977397480221,Self-Employed,96,Shopkeeper
45,Female,44000,600,606,5,150000,104,No,West Bengal,Kolkata,83.30711233957086,Self-Employed,88,Farmer
63,Female,167000,513,573,3,150000,35,No,Uttar Pradesh,Channarayapatna,74.79572540681701,Salaried,88,Teacher
30,Male,86000,850,102,10,56228,210,Yes,Delhi,New Delhi,42.326337494258475,Self-Employed,90,Business Owner
30,Male,21000,717,385,7,63985,135,Yes,Maharashtra,Nagpur,59.84363191490826,Student,94,Student
61,Male,134000,398,305,1,107445,112,No,Uttar Pradesh,Lucknow,57.37053924014343,Self-Employed,79,Farmer
19,Female,56000,524,324,4,130858,80,No,Maharashtra,Nagpur,64.49077617233263,Freelancer,97,Independent Consultant
34,Male,20000,478,454,3,20582,101,No,Telangana,Hyderabad,73.3155268242006,Salaried,88,Doctor
34,Male,93000,657,428,6,94401,197,Yes,Tamil Nadu,Coimbatore,51.596012674791226,Unemployed,92,NA
67,Female,175000,651,348,6,94532,301,Yes,West Bengal,Kolkata,61.844796882480935,Salaried,100,Doctor
37,Male,68000,305,226,0,66873,100,No,Gujarat,Surat,67.0332032604534,Salaried,63,Doctor
39,Female,101000,814,350,9,148529,305,Yes,West Bengal,Kolkata,53.38108949522693,Salaried,100,Software Engineer
65,Male,60000,783,8,8,119247,256,Yes,Delhi,New Delhi,41.50846041172215,Freelancer,100,Graphic Designer
55,Female,161000,543,163,4,50470,62,No,Delhi,New Delhi,95.0,Salaried,49,Banker
27,Female,34000,368,123,1,103844,53,No,West Bengal,Kolkata,89.74871358824457,Salaried,35,Teacher
64,Male,111000,701,588,7,150000,338,Yes,Telangana,Hyderabad,72.7081772297808,Salaried,98,Teacher
67,Male,145000,850,213,10,149466,301,Yes,Delhi,New Delhi,40.0,Salaried,100,Civil Servant
61,Male,147000,678,198,6,96447,298,Yes,Telangana,Hyderabad,55.403478960581594,Self-Employed,95,Farmer
59,Male,125000,711,168,7,125838,62,Yes,Delhi,Nellikuppam,66.41368226707907,Salaried,100,Banker
30,Male,26000,679,365,6,99926,340,Yes,Delhi,Manjari,55.37636657185335,Unemployed,95,NA
29,Female,32000,421,368,2,150000,60,No,Uttar Pradesh,Kanpur,66.9894104567681,Salaried,61,Software Engineer
54,Female,133000,552,169,4,147644,47,No,Gujarat,Ahmedabad,67.03210706108084,Salaried,85,Banker
52,Male,42000,300,453,0,150000,19,No,Rajasthan,Nellikuppam,53.15023019625278,Freelancer,49,Writer
69,Male,105000,850,48,10,150000,338,Yes,Tamil Nadu,Coimbatore,67.72864052504653,Salaried,92,Doctor
32,Female,60000,468,61,3,150000,103,No,Uttar Pradesh,Kanpur,68.80338747285982,Salaried,97,Teacher
49,Female,139000,678,596,6,93303,122,Yes,Telangana,Hyderabad,61.541467521510306,Salaried,100,Software Engineer
29,Female,85000,390,422,1,71711,39,No,Uttar Pradesh,Kanpur,62.43602797775038,Self-Employed,66,Shopkeeper
61,Male,158000,501,278,3,105976,17,No,Delhi,New Delhi,50.949987208391185,Self-Employed,100,Farmer
60,Male,118000,635,455,6,81848,234,No,Tamil Nadu,Coimbatore,95.0,Salaried,88,Doctor
46,Female,61000,602,53,5,116064,208,No,Karnataka,Bengaluru,90.03941643407009,Salaried,79,Doctor
25,Female,25000,706,375,7,24648,176,Yes,West Bengal,Kolkata,40.0,Salaried,92,Banker
52,Female,106000,594,287,5,150000,107,No,Gujarat,Bishanpura,79.80137318294092,Self-Employed,100,Business Owner
27,Male,37000,300,196,0,108278,117,No,Kerala,Thiruvananthapuram,75.07772577068039,Salaried,61,Teacher
56,Male,53000,398,589,1,150000,52,No,Gujarat,Surat,73.98803779005497,Self-Employed,73,Contractor
39,Male,91000,406,131,1,150000,57,No,Delhi,New Delhi,95.0,Unemployed,20,NA
68,Female,107000,584,89,5,69238,70,No,Kerala,Kochi,71.62726826585597,Salaried,100,Teacher
29,Male,60000,681,559,6,128061,126,Yes,Kerala,Thiruvananthapuram,95.0,Salaried,100,Doctor
34,Male,73000,443,299,2,52669,25,No,Tamil Nadu,Channarayapatna,79.17880581337741,Salaried,82,Software Engineer
49,Female,37000,850,295,10,97688,335,Yes,Tamil Nadu,Chennai,59.15225524717789,Salaried,95,Teacher
22,Male,22000,647,292,6,71264,299,No,Karnataka,Bengaluru,50.20167287693298,Salaried,92,Civil Servant
26,Male,58000,850,351,10,96368,334,Yes,Uttar Pradesh,Lucknow,40.0,Salaried,100,Doctor
51,Female,82000,485,79,3,150000,113,No,Telangana,Hyderabad,56.00637463130464,Unemployed,71,NA
68,Female,180000,729,168,7,101010,274,Yes,Gujarat,Ahmedabad,81.3903036211928,Salaried,100,Software Engineer
39,Female,30000,389,393,1,136156,34,No,Uttar Pradesh,Lucknow,57.887348142232405,Self-Employed,49,Business Owner
18,Female,25000,681,381,6,70189,221,Yes,Delhi,New Delhi,70.55092616487718,Freelancer,97,Photographer
33,Female,75000,733,50,7,68817,262,Yes,Maharashtra,Mumbai,62.00143864943905,Salaried,100,Doctor
21,Male,49000,386,21,1,134878,28,No,Uttar Pradesh,Kanpur,65.49521336816994,Salaried,78,Teacher
29,Male,36000,627,449,5,120926,206,No,Rajasthan,Jaipur,76.10335948896687,Freelancer,77,Independent Consultant
45,Female,56000,779,184,8,118103,312,Yes,Kerala,Kochi,47.59160199532194,Self-Employed,100,Shopkeeper
19,Male,49000,668,66,6,141610,351,Yes,Delhi,New Delhi,56.13931430910416,Salaried,100,Software Engineer
70,Female,126000,432,508,2,150000,45,No,West Bengal,Kolkata,95.0,Salaried,66,Teacher
24,Female,14000,353,422,0,43034,54,No,Maharashtra,Nagpur,95.0,Self-Employed,17,Farmer
24,Male,59000,429,227,2,91586,55,No,Kerala,Thiruvananthapuram,65.77598883126146,Unemployed,54,NA
51,Female,90000,364,369,1,150000,49,No,Tamil Nadu,Channarayapatna,88.63535449155921,Salaried,41,Doctor
20,Female,15000,440,519,2,37043,66,No,Kerala,Kochi,60.590442995224095,Self-Employed,75,Farmer
53,Male,104000,716,507,7,70568,98,Yes,Gujarat,Ahmedabad,40.0,Salaried,100,Software Engineer
62,Female,160000,768,25,8,150000,187,Yes,Rajasthan,Udaipur,40.0,Salaried,100,Banker
55,Female,112000,659,390,6,101635,180,Yes,Karnataka,Mysuru,95.0,Salaried,77,Teacher
63,Male,36000,705,231,7,103642,129,Yes,Telangana,Hyderabad,62.548332519453226,Self-Employed,100,Shopkeeper
34,Male,100000,850,511,10,74914,137,Yes,Tamil Nadu,Coimbatore,40.0,Freelancer,93,Photographer
42,Male,29000,374,384,1,118812,110,No,Maharashtra,Nagpur,66.86070771016512,Student,29,Student
36,Male,78000,305,470,0,132830,70,No,Gujarat,Manjari,88.58699508335685,Salaried,50,Software Engineer
40,Other,60000,381,415,1,76778,97,No,Telangana,Hyderabad,95.0,Self-Employed,46,Contractor
54,Male,151000,604,163,5,150000,171,No,Gujarat,Surat,80.49514110503893,Salaried,75,Banker
34,Female,32000,557,325,4,145905,58,No,Maharashtra,Mumbai,62.24176465402839,Salaried,95,Doctor
39,Female,82000,508,38,3,150000,100,No,Tamil Nadu,Chennai,54.84913090796493,Self-Employed,98,Business Owner
31,Male,36000,785,448,8,76425,201,Yes,Uttar Pradesh,Lucknow,66.59813860189608,Student,100,Student
53,Male,88000,319,340,0,102545,52,No,Kerala,Nellikuppam,95.0,Salaried,35,Banker
69,Female,149000,590,405,5,85462,99,No,Tamil Nadu,Chennai,57.05364393960757,Salaried,99,Banker
31,Female,85000,393,151,1,110581,46,No,Gujarat,Surat,61.49391742088206,Self-Employed,49,Contractor
58,Male,88000,398,529,1,87434,43,No,Uttar Pradesh,Lucknow,95.0,Salaried,48,Teacher
44,Male,23000,469,558,3,58061,63,No,Gujarat,Surat,59.35367646594332,Self-Employed,75,Business Owner
66,Female,88000,451,307,2,126893,35,No,Telangana,Hyderabad,95.0,Unemployed,46,NA
57,Male,90000,652,371,6,149611,215,Yes,Tamil Nadu,Chennai,85.81293065732072,Salaried,99,Software Engineer
27,Female,25000,639,338,6,104326,358,No,Maharashtra,Mumbai,65.12758660569392,Self-Employed,90,Shopkeeper
